username,date,content
narendramodi,2019-06-23,"Exceptional game, excellent outcome! Congratulations to our team for winning the Women's FIH Series Finals hockey tournament. This stupendous victory will further popularise hockey and also inspire many young girls to excel in the sport."
narendramodi,2019-06-23,"Remembering Dr. Syama Prasad Mookerjee on his Balidan Divas. A devout patriot and proud nationalist, Dr. Mookerjee devoted his life for India’s unity and integrity. His passion for a strong and united India continues to inspire us and gives us strength to serve 130 crore Indians."
narendramodi,2019-06-22,"Had a fruitful interaction with economists and other experts on the themes of macro-economy and employment, agriculture and water resources, exports, education, and health. The inputs received were insightful and will benefit our growth trajectory."
narendramodi,2019-06-22,"Taking Yoga to all parts of the world! Founded in 1980, the Japan Yoga Niketan has popularised Yoga across Japan. It runs many Yoga training institutes and courses. They have been able to draw people from all sections of Japanese society. Congratulations to them! #YogaDay2019"
narendramodi,2019-06-22,"Founded by Sri Swami Satyananda Saraswati, the Bihar School of Yoga, Munger has been actively working for over 50 years. They merge ancient wisdom with modern trends with an aim to improve fitness. Their Yoga programmes and publications are widely popular. #YogaDay2019"
narendramodi,2019-06-22,"Exceptional devotion, notable contribution. Ms. Antonietta Rozzi belongs to Italy and has been practising Yoga for over 4 decades. She founded the Sarva Yoga International and popularised Yoga across Europe. We are proud of dedicated individuals like her! #YogaDay2019"
narendramodi,2019-06-22,"Hailing from Gujarat’s Limbdi, Swami Rajarshi Muni has made remarkable efforts to spread Yoga. Most notably, he founded the LIFE Mission and is associated with Lakulish Yoga University that mentors students to excel in Yoga. His commitment to social service is also outstanding."
narendramodi,2019-06-22,Congratulations to those who have been conferred the Prime Minister’s Awards for Outstanding Contribution for Promotion and Development of Yoga -2019. We are immensely proud of their rich work to ensure more people embrace Yoga and our planet becomes healthier. #YogaDay2019
narendramodi,2019-06-21,Wonderfully expressed by Pranab Da! It is a matter of pride for the entire nation that an eminent statesman like him enriched the Yoga Day celebrations with his blessings and participation. @CitiznMukherjee
narendramodi,2019-06-21,"My dear friend @moonriver365, I was overjoyed to read your message. I fully agree with you on the power of Yoga to unite and further oneness. It is this oneness that will create a better planet. I am also looking forward to interacting with you in Osaka in the coming days."
narendramodi,2019-06-21,"The Prabhat Tara Maidan in Ranchi witnessed a historic Yoga Day programme. Thousands of Yoga practitioners, from all walks of life enriched the Yoga Day celebrations with their presence. Here are some photos. #YogaDay2019"
narendramodi,2019-06-21,Vice President @MVenkaiahNaidu Ji is known for his remarkable energy. Yoga energises both the mind and body. It contributes to a fitter planet and a harmonious society. @VPSecretariat #YogaDay2019
narendramodi,2019-06-21,"Remarkable gesture by my friend, PM Oli to lead the Yoga Day celebrations in Nepal. #YogaDay2019"
narendramodi,2019-06-19,Have you made Surya Namaskar a part of your routine? Do watch this video to know why it is a good idea to do so and the advantages that come with regularly practising it. #YogaDay2019
narendramodi,2019-06-18,"Spreading positivity, furthering joy. Appreciable effort by @NavbharatTimes to devote a special weekly page towards sharing positive news, celebrating the lives of extraordinary Indians working at the grassroots."
narendramodi,2019-06-18,Have you practiced Setu Bandhasana? Sharing a video that will teach you the Asana and also state some of its benefits. #YogaDay2019
narendramodi,2019-06-17,"I am confident that under the leadership of Shri @AmitShah and Shri @JPNadda, and powered by the hardwork of our Karyakartas, the BJP will continue winning people’s trust and serving our society. We remain committed to building a strong, developed and inclusive India."
narendramodi,2019-06-17,"Shri @JPNadda is a diligent Karyakarta of the Party, who has risen through the ranks due to his hardwork and organisational skills. Humble and affable, he is widely respected across the BJP family. Congratulations to him on becoming the Working President of the Party."
narendramodi,2019-06-17,Took oath as a Member of Parliament. It is an honour to serve in Parliament and I look forward to healthy deliberations with fellow MPs.
narendramodi,2019-06-17,"We remain forever inspired by the life, thoughts and ideals of Sant Kabir Das Ji. His message of justice, equality and inclusiveness is reflected in the working of our Government. Tributes to him on his Jayanti."
narendramodi,2019-06-17,"Yoga: More than just exercises. Simple and convenient. Helps improve concentration and decision making. Improves posture. I write on @LinkedIn, on why more professionals, especially young professionals should embrace Yoga. #YogaDay2019"
narendramodi,2019-06-17,Speaking at the start of the Parliament Monsoon Session.
narendramodi,2019-06-17,"Stronger wrists, back muscles and prevention of spondylitis...just some of the reasons why practising Shalabhasana is beneficial. #YogaDay2019"
narendramodi,2019-06-16,"Across all continents, the #YogaDay2019 celebrations have begun with immense fervour. I urge you all to join the Yoga Day programmes in your respective nations and enrich the Yoga programmes with your participation."
narendramodi,2019-06-16,Paris is a city associated with culture and tradition. Happy to see Yoga find the place of pride and people practising Yoga near the iconic Eiffel Tower. #YogaDay2019
narendramodi,2019-06-16,Among the most beautiful aspects of Yoga is that it is easy to practice and convenient too. All you need is some empty space and a mat! People across all age groups can practice it. Glad that South Africa is marking #YogaDay2019 with enthusiasm.
narendramodi,2019-06-16,The enthusiasm towards #YogaDay2019 is gaining momentum in UAE!
narendramodi,2019-06-16,Happy to see the popularity of Yoga rise in Zimbabwe and other parts of Africa. #YogaDay2019
narendramodi,2019-06-16,Lovely pictures from Amsterdam! #YogaDay2019
narendramodi,2019-06-16,"We, the NDA family look forward to fulfilling the dreams of 130 crore Indians, who have reposed unparalleled faith in our alliance. We shall fulfil regional aspirations and work untiringly for national progress. Here are glimpses from the NDA meet in New Delhi."
narendramodi,2019-06-16,"BJP is grateful for people’s blessings. We assure our fellow Indians that we will be at the forefront of pro-people governance & facilitating legislation that manifests the spirit of ‘Sabka Saath, Sabka Vikas, Sabka Vishwas.’ Sharing pictures from the parliamentary party meet."
narendramodi,2019-06-16,"We had a fruitful all-party meeting today, the first one after the election results and before the start of the Monsoon Session. Thankful to the leaders for their valuable suggestions. We all agreed on the smooth running of Parliament so that we can fulfil people’s aspirations."
narendramodi,2019-06-15,Here are key highlights from today’s Governing Council meeting of @NITIAayog. I thank all those who enriched today’s proceedings with their inputs and insights. The wide ranging views will contribute to India’s development. http://nm-4.com/mwp8
narendramodi,2019-06-15,"During the @NITIAayog meet, also spoke about other areas such as: Harnessing water resources. Making India a 5 trillion dollar economy. Doubling income of farmers. Better health for every Indian. Here are highlights of my remarks. http://nm-4.com/jwp8"
narendramodi,2019-06-15,The @NITIAayog reflects India’s vibrant federal spirit. The experience of Swachh Bharat Mission and PM Awas Yojana illustrates the outstanding results when Centre and States work together. We should continue this spirit and build a New India!
narendramodi,2019-06-15,"We’ve been having extensive and insightful deliberations in the 5th Governing Council meeting of @NITIAayog. In my remarks, spoke of issues including poverty alleviation, creating jobs, eliminating corruption, combating pollution and more."
narendramodi,2019-06-15,"For the #MannKiBaat this month, dial the toll-free number 1800-11-7800 to record your message. You could also write on the MyGov Open Forum and pen your inputs. Looking forward to a great interaction. https://mygov.in/group-issue/inviting-ideas-pm-narendra-modis-mann-ki-baat-30th-june-2019/"
narendramodi,2019-06-15,"30th June, Sunday at 11:00 AM... We will meet once again thanks to the radio, share joy, positivity and celebrate the collective strength of 130 crore Indians. I am sure you have lots to say for #MannKiBaat. Share it on the NaMo App Open Forum. http://nm-4.com/9rp8"
narendramodi,2019-06-15,Watch this video on Shashankasana. Make Shashankasana a part of your routine and see the positive changes it brings to your lifestyle. #YogaDay2019
narendramodi,2019-06-14,Thank you to the exceptional people of the Kyrgyz Republic for hosting a productive SCO Summit. This Summit will boost multilateral cooperation and lead to many positive outcomes. I also thank the Government of the Kyrgyz Republic and President Jeenbekov for the hospitality.
narendramodi,2019-06-14,"There is great potential to increase economic ties with Kyrgyzstan and the Business Forum will emerge as a vibrant forum for that. A trade show ‘Namaskar Eurasia’ will also be organised. Sectors like railways, energy, hydropower offer great opportunities for collaboration."
narendramodi,2019-06-14,"Held extensive talks with President Jeenbekov this evening. We discussed areas such as the economy, trade, culture among others as sectors that can add vigour to the friendship between India and Kyrgyzstan."
narendramodi,2019-06-14,From the ceremonial welcome in Bishkek.
narendramodi,2019-06-14,Addressing the media with President Jeenbekov. Watch.
narendramodi,2019-06-14,"Raja Parba is an auspicious occasion, which furthers brotherhood and happiness in our society. Greetings to the people of Odisha on this festival. May everyone be happy, healthy and may all aspirations be fulfilled."
narendramodi,2019-06-14,Addressing the Kyrgyzstan 🇰🇬 - India 🇮🇳 business forum. Watch. https://pscp.tv/w/b9N8OjMyMjExNTJ8MVlxeG9qa2VuYmtKdhkJrQvPl2OMPeyZYhIlxht-BO7Q1ylUiZUxzxodn3d0
narendramodi,2019-06-14,"Participated in the proceedings of the SCO Summit in Bishkek. India has been making notable contributions in various SCO activities. During my remarks, elaborated on how good HEALTH will further strengthen the SCO. http://nm-4.com/8up8"
narendramodi,2019-06-14,Sharing a video on the many benefits of Pawanmuktasana. #YogaDay2019
narendramodi,2019-06-14,President @ashrafghani and I had a wonderful meeting in Bishkek. We discussed ways to further cement India-Afghanistan friendship. India fully supports Afghanistan in its endeavours towards peace and prosperity for its citizens.
